

2014年07月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="01004T","富邦R2","365000","39","4270980","11.69","11.75","11.68","11.75","+","0.06","11.71","36","11.75","18","0.00"
="01007T","國泰R2","166000","8","2389330","14.39","14.4","14.35","14.39","+","0.09","14.35","40","14.39","2","0.00"
="01008T","駿馬R1","982000","53","17708260","17.85","18.1","17.85","18.1","+","0.3","18.05","3","18.1","1","0.00"
"1101  ","台泥  ","12513182","3775","574504972","45.2","46.4","45.05","46.2","+","1","46.15","35","46.2","23","16.33"
"1102  ","亞泥  ","2391820","1038","98367579","41","41.3","40.85","41","+","0.1","41","3","41.05","1","19.25"
"1103  ","嘉泥  ","947444","260","15125293","16","16","15.9","16","+","0.05","16","13","16.05","52","8.99"
"1104  ","環泥  ","313952","159","8914438","28.4","28.5","28.3","28.35","-","0.05","28.35","68","28.45","1","14.61"
"1108  ","幸福  ","287131","103","2588139","9.03","9.07","9","9.03"," ","0","9.02","1","9.03","3","20.07"
"1109  ","信大  ","575227","200","9262482","16.15","16.2","16","16.1","-","0.05","16.05","2","16.15","19","20.91"
"1110  ","東泥  ","34773","24","548196","15.75","15.8","15.65","15.75","+","0.05","15.65","7","15.75","15","58.33"
"1201  ","味全  ","605471","504","27218816","45.1","45.35","44.7","44.85","-","0.25","44.85","8","45","10","27.18"
"1203  ","味王  ","115807","76","2575831","22.3","22.35","22.2","22.2","-","0.1","22.2","17","22.25","3","19.82"
"1210  ","大成  ","2502151","1169","90955230","36.5","36.55","36.2","36.3","-","0.05","36.3","4","36.35","99","9.97"
"1213  ","大飲  ","2721292","1158","67276228","24.7","25.1","24","24.05","+","0.55","24.05","9","24.4","10","109.32"
"1215  ","卜蜂  ","4385784","1758","125475628","29.1","29.25","28.15","28.3","-","0.65","28.3","103","28.35","34","11.23"
"1216  ","統一  ","4572613","1651","244798551","53.6","53.8","53.2","53.4","-","0.2","53.4","117","53.5","238","20.7"
"1217  ","愛之味","3306929","721","31425908","9.57","9.58","9.45","9.49","-","0.08","9.48","10","9.49","211","0.00"
"1218  ","泰山  ","1365081","541","18644991","13.9","13.9","13.55","13.6","-","0.25","13.6","210","13.65","49","0.00"
"1219  ","福壽  ","328923","165","5262116","16.2","16.25","15.85","15.9","+","0.05","15.85","26","15.9","2","48.18"
"1220  ","台榮  ","93367","37","971497","10.45","10.45","10.35","10.4","-","0.05","10.4","9","10.45","8","32.5"
"1225  ","福懋油","3866512","997","68710476","17.9","18.1","17.6","17.6","+","0.5","17.6","114","17.7","18","48.89"
"1227  ","佳格  ","700192","604","57865835","83","83","82.5","82.6","-","0.4","82.5","35","82.6","5","31.89"
"1229  ","聯華  ","2759745","818","58459140","21.05","21.3","21","21.25","+","0.25","21.25","63","21.3","183","10.27"
"1231  ","聯華食","265276","162","11018835","41.55","41.8","41.25","41.35","-","0.15","41.35","41","41.45","2","21.31"
"1232  ","大統益","473591","241","38779177","82","82.2","81.5","82.2","+","0.2","82.1","2","82.3","32","16.74"
"1233  ","天仁  ","70400","47","3658779","52.2","52.3","51.8","51.9","+","0.1","51.8","17","52","8","19.15"
"1234  ","黑松  ","447350","270","14976373","33.6","33.7","33.3","33.55","-","0.05","33.55","3","33.65","30","49.34"
"1235  ","興泰  ","2804210","1137","127637623","44.3","46.9","43.4","46.55","+","2.25","46.5","7","46.6","6","150.16"
"1236  ","宏亞  ","24102","16","633705","26.4","26.4","26.2","26.3"," ","0","26.2","7","26.3","9","29.55"
"1262  ","F-綠悅","284100","215","60536249","215","217","210.5","212.5","-","2","212","2","213","6","25.36"
"1301  ","台塑  ","6560824","2836","524299206","79.8","80.1","79.6","80","+","0.2","79.9","50","80","757","22.73"
"1303  ","南亞  ","9965196","3834","728986342","72","74","71.7","73.9","+","2","73.9","1","74","863","21.24"
"1304  ","台聚  ","1692135","622","33400130","19.85","19.9","19.65","19.7"," ","0","19.65","192","19.7","27","30.31"
"1305  ","華夏  ","3145184","875","52276087","16.6","16.7","16.5","16.6"," ","0","16.55","271","16.6","364","12.87"
"1307  ","三芳  ","154500","115","4745996","30.7","30.9","30.6","30.65","-","0.05","30.6","52","30.65","6","13.21"
"1308  ","亞聚  ","2133371","921","55078400","25.9","26","25.55","25.75","-","0.15","25.75","35","25.8","15","23.62"
"1309  ","台達化","1988154","652","23269131","11.6","11.85","11.6","11.65","+","0.05","11.65","156","11.7","2","0.00"
"1310  ","台苯  ","7747493","1703","146360881","18.95","19.1","18.7","18.75","-","0.15","18.75","441","18.8","156","8.76"
"1312  ","國喬  ","1655318","587","30994356","18.8","18.8","18.6","18.7"," ","0","18.7","559","18.75","20","8.95"
"1312A ","國喬特","1000","1","23800","23.8","23.8","23.8","23.8"," ","0","23.8","3","23.9","1","0.00"
"1313  ","聯成  ","756880","266","9864787","13.05","13.1","13","13","-","0.05","13","107","13.05","145","56.52"
"1314  ","中石化","20894659","4555","257476533","12.2","12.45","12.15","12.25","+","0.1","12.25","338","12.3","273","0.00"
"1315  ","達新  ","11939","25","343287","28.75","28.9","28.7","28.9","+","0.1","28.85","1","28.9","2","37.05"
"1316  ","上曜  ","444000","142","5222450","11.85","11.9","11.65","11.8","-","0.05","11.8","29","11.9","49","0.00"
"1319  ","東陽  ","868234","479","35426765","40.75","41.15","40.4","41.1","+","0.45","41.05","1","41.1","2","17.13"
"1321  ","大洋  ","478000","335","21431950","44.7","45.2","44.65","45","+","0.1","44.9","3","45","2","750"
"1323  ","永裕  ","323750","230","11378486","34.25","35.4","34.25","35.3","+","0.9","35.2","6","35.3","3","12.52"
"1324  ","地球  ","67000","38","1126150","16.75","16.9","16.7","16.7"," ","0","16.7","3","16.8","8","28.31"
"1325  ","恆大  ","158321","74","2936154","18.6","18.7","18.45","18.6","-","0.1","18.6","13","18.65","1","27.76"
"1326  ","台化  ","4973376","2051","378749909","75.8","76.5","75.6","76.5","+","0.9","76.4","22","76.5","521","19.92"
"1337  ","F-再生","2078005","1111","125968302","60.5","61.4","60","60.3","-","0.4","60.3","56","60.4","6","8.84"
"1338  ","F-廣華","399200","250","51548200","129.5","130","128","129.5","+","0.5","128.5","9","129.5","17","18.93"
"1339  ","昭輝  ","1011681","648","88197128","89","89","86.3","87","-","2","86.9","1","87","2","24.72"
"1340  ","F-勝悅","928500","371","122681250","131","135","131","132","+","1","131.5","8","132","4","15.12"
"1402  ","遠東新","9890216","2625","322932604","32","33.1","32","32.65","+","0.5","32.65","204","32.7","2","23.32"
"1409  ","新纖  ","5287477","907","56094752","10.7","10.7","10.55","10.65","-","0.05","10.55","842","10.65","1,313","11.58"
"1410  ","南染  ","109087","43","2591769","23.8","24","23.65","23.8","-","0.2","23.75","22","23.8","2","22.88"
"1413  ","宏洲  ","223021","49","903342","4.07","4.1","4.01","4.06"," ","0","4.05","10","4.06","9","0.00"
"1414  ","東和  ","271116","135","2470439","9.09","9.15","9.09","9.1","-","0.02","9.09","22","9.1","59","15.96"
"1416  ","廣豐  ","185954","118","3712920","19.95","20","19.9","20","+","0.05","19.95","10","20","10","153.85"
"1417  ","嘉裕  ","581896","163","4907338","8.45","8.46","8.42","8.43","-","0.01","8.42","44","8.43","5","28.1"
"1418  ","東華  ","122234","41","836827","6.85","6.89","6.79","6.79","-","0.06","6.78","3","6.79","4","0.00"
"1419  ","新紡  ","47670","46","1855241","38.55","39.1","38.55","39"," ","0","39","27","39.1","7","70.91"
"1423  ","利華  ","211610","70","1653667","7.78","7.85","7.78","7.83"," ","0","7.81","10","7.83","8","0.00"
"1432  ","大魯閣","861547","253","20847913","24.5","24.5","23.95","24.4"," ","0","24.25","1","24.4","25","0.00"
"1434  ","福懋  ","730464","363","24044864","33","33","32.7","33"," ","0","32.9","2","33","268","25.58"
"1435  ","中福  ","136001","41","859296","6.31","6.37","6.29","6.31","-","0.03","6.33","3","6.34","3","0.00"
"1436  ","華友聯","150000","41","7279300","48.4","48.95","48.05","48.3","-","0.1","48","1","48.4","8","0.00"
"1437  ","勤益控","678000","260","13895700","20.6","20.7","20.35","20.45"," ","0","20.4","4","20.45","32","0.00"
"1438  ","裕豐  ","440538","89","3266090","7.26","7.45","7.26","7.45","+","0.2","7.4","5","7.45","73","29.8"
"1439  ","中和  ","42796","27","627760","14.7","14.9","14.6","14.65","-","0.05","14.65","6","14.8","18","0.00"
"1440  ","南紡  ","1026173","483","19869685","19.45","19.5","19.3","19.35","-","0.1","19.3","226","19.35","51","30.71"
"1441  ","大東  ","174149","62","1640111","9.45","9.47","9.38","9.41","-","0.05","9.41","11","9.46","5","0.00"
"1442  ","名軒  ","411507","110","14415015","35","35.15","34.7","34.7","-","0.15","34.65","5","34.7","52","6.6"
"1443  ","立益  ","1000567","287","8798090","8.75","8.87","8.64","8.79","-","0.13","8.79","77","8.86","5","0.00"
"1444  ","力麗  ","888203","269","9470990","10.65","10.7","10.6","10.65"," ","0","10.65","170","10.7","187","17.18"
"1445  ","大宇  ","295459","72","2957293","10","10.1","9.98","10.05","-","0.05","9.98","1","10.05","4","23.93"
"1446  ","宏和  ","260388","90","8068549","31.2","31.2","30.8","30.95","-","0.25","30.95","10","31","13","0.00"
"1447  ","力鵬  ","1789462","474","23560518","13.3","13.3","13.1","13.15","-","0.1","13.15","1","13.2","151","10.69"
"1449  ","佳和  ","138472","23","211017","1.53","1.54","1.52","1.53"," ","0","1.53","9","1.54","10","0.00"
"1451  ","年興  ","1705212","735","51709280","30.35","30.5","30.2","30.25"," ","0","30.25","12","30.35","8","13.38"
